pulse_index,time_s,x_m,y_m
162,0.324,0.0005900000000000004,0.0005
163,0.326,0.0006100000000000004,0.0005
164,0.328,0.0006300000000000005,0.0005
165,0.33,0.0006500000000000005,0.0005
166,0.332,0.0006700000000000001,0.0005
167,0.334,0.0006900000000000002,0.0005
168,0.336,0.0007100000000000002,0.0005
169,0.338,0.0007300000000000003,0.0005
170,0.34,0.0007500000000000003,0.0005
171,0.342,0.0007700000000000004,0.0005
172,0.34400000000000003,0.0007900000000000004,0.0005
173,0.34600000000000003,0.0008100000000000005,0.0005
174,0.34800000000000003,0.0008300000000000006,0.0005
175,0.35000000000000003,0.0008500000000000006,0.0005
176,0.352,0.0008699999999999998,0.0005
177,0.354,0.0008899999999999998,0.0005
178,0.356,0.0009099999999999999,0.0005
179,0.358,0.0009299999999999999,0.0005
180,0.36,5e-05,0.00065
181,0.362,7.000000000000005e-05,0.00065
182,0.364,9.00000000000001e-05,0.00065
183,0.366,0.00011000000000000015,0.00065
184,0.368,0.0001300000000000002,0.00065
185,0.37,0.00015000000000000026,0.00065
186,0.372,0.0001700000000000003,0.00065
187,0.374,0.00019000000000000036,0.00065
188,0.376,0.00020999999999999998,0.00065
189,0.378,0.00023000000000000003,0.00065
190,0.38,0.0002500000000000001,0.00065
191,0.382,0.00027000000000000017,0.00065
192,0.384,0.0002900000000000002,0.00065
193,0.386,0.00031000000000000027,0.00065
194,0.388,0.0003300000000000003,0.00065
195,0.39,0.0003500000000000004,0.00065
196,0.392,0.00037,0.00065
197,0.394,0.00039000000000000005,0.00065
198,0.396,0.0004100000000000001,0.00065
199,0.398,0.00043000000000000015,0.00065
200,0.4,0.0004500000000000002,0.00065
201,0.402,0.00047000000000000026,0.00065
202,0.404,0.0004900000000000003,0.00065
203,0.406,0.0005100000000000004,0.00065
204,0.40800000000000003,0.0005300000000000004,0.00065
205,0.41000000000000003,0.0005500000000000005,0.00065
206,0.41200000000000003,0.0005700000000000005,0.00065
207,0.41400000000000003,0.0005900000000000006,0.00065
208,0.41600000000000004,0.0006100000000000006,0.00065
209,0.418,0.0006299999999999998,0.00065
210,0.42,0.0006499999999999999,0.00065
211,0.422,0.0006699999999999999,0.00065
212,0.424,0.00069,0.00065
213,0.426,0.00071,0.00065
214,0.428,0.0007300000000000001,0.00065
215,0.43,0.0007500000000000001,0.00065
216,0.432,0.0007700000000000002,0.00065
217,0.434,0.0007900000000000002,0.00065
218,0.436,0.0008100000000000003,0.00065
219,0.438,0.0008300000000000003,0.00065
220,0.44,0.0008500000000000004,0.00065
221,0.442,0.0008700000000000004,0.00065
222,0.444,0.0008900000000000005,0.00065
223,0.446,0.0009100000000000005,0.00065
224,0.448,0.0009300000000000006,0.00065
225,0.45,5.000000000000065e-05,0.0007999999999999999
226,0.452,7.00000000000007e-05,0.0007999999999999999
227,0.454,9.000000000000075e-05,0.0007999999999999999
228,0.456,0.0001100000000000008,0.0007999999999999999
229,0.458,0.00013,0.0007999999999999999
230,0.46,0.00015000000000000004,0.0007999999999999999
231,0.462,0.0001700000000000001,0.0007999999999999999
232,0.464,0.00019000000000000015,0.0007999999999999999
233,0.466,0.0002100000000000002,0.0007999999999999999
234,0.468,0.00023000000000000025,0.0007999999999999999
235,0.47000000000000003,0.00025000000000000033,0.0007999999999999999
236,0.47200000000000003,0.0002700000000000004,0.0007999999999999999
237,0.47400000000000003,0.00029000000000000044,0.0007999999999999999
238,0.47600000000000003,0.0003100000000000005,0.0007999999999999999
